Quarter,Type,الربع السنوي,Description,الوصف,Year,Value,Title,العنوان,Quarter_Number,النوع,sort_id
First Quarter,Units,First Quarter,Value,قيمة,2026,85008984976,Sales,المبايعات,1,وحده,1
First Quarter,Units,First Quarter,Number,عدد,2026,38524,Sales,المبايعات,1,وحده,2
First Quarter,Building,First Quarter,Value,قيمة,2026,3597832936,Sales,المبايعات,1,مبنى,3
First Quarter,Building,First Quarter,Number,عدد,2026,117,Sales,المبايعات,1,مبنى,4
First Quarter,Land,First Quarter,Value,قيمة,2026,61282752869,Sales,المبايعات,1,أرض,5
First Quarter,Land,First Quarter,Number,عدد,2026,3798,Sales,المبايعات,1,أرض,6
First Quarter,Villa,First Quarter,Value,قيمة,2026,26478955434,Sales,المبايعات,1,فيلا,7
First Quarter,Villa,First Quarter,Number,عدد,2026,5548,Sales,المبايعات,1,فيلا,8
First Quarter,Units,First Quarter,Value,قيمة,2026,10471845517,Mortgages,الرهون,1,وحده,9
First Quarter,Units,First Quarter,Number,عدد,2026,6067,Mortgages,الرهون,1,وحده,10
First Quarter,Building,First Quarter,Value,قيمة,2026,13338055646,Mortgages,الرهون,1,مبنى,11
First Quarter,Building,First Quarter,Number,عدد,2026,125,Mortgages,الرهون,1,مبنى,12
First Quarter,Land,First Quarter,Value,قيمة,2026,26810360867,Mortgages,الرهون,1,أرض,13
First Quarter,Land,First Quarter,Number,عدد,2026,1769,Mortgages,الرهون,1,أرض,14
First Quarter,Villa,First Quarter,Value,قيمة,2026,9274922994,Mortgages,الرهون,1,فيلا,15
First Quarter,Villa,First Quarter,Number,عدد,2026,2229,Mortgages,الرهون,1,فيلا,16
First Quarter,Units,First Quarter,Value,قيمة,2026,5952273315,Other,أخرى,1,وحده,17
First Quarter,Units,First Quarter,Number,عدد,2026,1594,Other,أخرى,1,وحده,18
First Quarter,Building,First Quarter,Value,قيمة,2026,2346395984,Other,أخرى,1,مبنى,19
First Quarter,Building,First Quarter,Number,عدد,2026,38,Other,أخرى,1,مبنى,20
First Quarter,Land,First Quarter,Value,قيمة,2026,5051957853,Other,أخرى,1,أرض,21
First Quarter,Land,First Quarter,Number,عدد,2026,196,Other,أخرى,1,أرض,22
First Quarter,Villa,First Quarter,Value,قيمة,2026,2117998288,Other,أخرى,1,فيلا,23
First Quarter,Villa,First Quarter,Number,عدد,2026,235,Other,أخرى,1,فيلا,24
First Quarter,Units,First Quarter,Value,قيمة,2025,65790041295,Sales,المبايعات,1,وحده,25
First Quarter,Units,First Quarter,Number,عدد,2025,34165,Sales,المبايعات,1,وحده,26
First Quarter,Building,First Quarter,Value,قيمة,2025,4902861709,Sales,المبايعات,1,مبنى,27
First Quarter,Building,First Quarter,Number,عدد,2025,147,Sales,المبايعات,1,مبنى,28
First Quarter,Land,First Quarter,Value,قيمة,2025,47459499137,Sales,المبايعات,1,أرض,29
First Quarter,Land,First Quarter,Number,عدد,2025,8208,Sales,المبايعات,1,أرض,30
First Quarter,Villa,First Quarter,Value,قيمة,2025,24568412092,Sales,المبايعات,1,فيلا,31
First Quarter,Villa,First Quarter,Number,عدد,2025,5189,Sales,المبايعات,1,فيلا,32
First Quarter,Units,First Quarter,Value,قيمة,2025,9340964865,Mortgages,الرهون,1,وحده,33
First Quarter,Units,First Quarter,Number,عدد,2025,5381,Mortgages,الرهون,1,وحده,34
First Quarter,Building,First Quarter,Value,قيمة,2025,5646278591,Mortgages,الرهون,1,مبنى,35
First Quarter,Building,First Quarter,Number,عدد,2025,140,Mortgages,الرهون,1,مبنى,36
First Quarter,Land,First Quarter,Value,قيمة,2025,17357945800,Mortgages,الرهون,1,أرض,37
First Quarter,Land,First Quarter,Number,عدد,2025,1681,Mortgages,الرهون,1,أرض,38
First Quarter,Villa,First Quarter,Value,قيمة,2025,8678489569,Mortgages,الرهون,1,فيلا,39
First Quarter,Villa,First Quarter,Number,عدد,2025,2086,Mortgages,الرهون,1,فيلا,40
First Quarter,Units,First Quarter,Value,قيمة,2025,2927232520,Other,أخرى,1,وحده,41
First Quarter,Units,First Quarter,Number,عدد,2025,1515,Other,أخرى,1,وحده,42
First Quarter,Building,First Quarter,Value,قيمة,2025,1126988063,Other,أخرى,1,مبنى,43
First Quarter,Building,First Quarter,Number,عدد,2025,47,Other,أخرى,1,مبنى,44
First Quarter,Land,First Quarter,Value,قيمة,2025,3494202941,Other,أخرى,1,أرض,45
First Quarter,Land,First Quarter,Number,عدد,2025,171,Other,أخرى,1,أرض,46
First Quarter,Villa,First Quarter,Value,قيمة,2025,2070239377,Other,أخرى,1,فيلا,47
First Quarter,Villa,First Quarter,Number,عدد,2025,300,Other,أخرى,1,فيلا,48
Second Quarter,Units,Second Quarter,Value,قيمة,2025,85441451273,Sales,المبايعات,2,وحده,49
Second Quarter,Units,Second Quarter,Number,عدد,2025,41863,Sales,المبايعات,2,وحده,50
Second Quarter,Building,Second Quarter,Value,قيمة,2025,5762256045,Sales,المبايعات,2,مبنى,51
Second Quarter,Building,Second Quarter,Number,عدد,2025,136,Sales,المبايعات,2,مبنى,52
Second Quarter,Land,Second Quarter,Value,قيمة,2025,72257051524,Sales,المبايعات,2,أرض,53
Second Quarter,Land,Second Quarter,Number,عدد,2025,7535,Sales,المبايعات,2,أرض,54
Second Quarter,Villa,Second Quarter,Value,قيمة,2025,20819242157,Sales,المبايعات,2,فيلا,55
Second Quarter,Villa,Second Quarter,Number,عدد,2025,3710,Sales,المبايعات,2,فيلا,56
Second Quarter,Units,Second Quarter,Value,قيمة,2025,9218684100,Mortgages,الرهون,2,وحده,57
Second Quarter,Units,Second Quarter,Number,عدد,2025,6618,Mortgages,الرهون,2,وحده,58
Second Quarter,Building,Second Quarter,Value,قيمة,2025,7225022504,Mortgages,الرهون,2,مبنى,59
Second Quarter,Building,Second Quarter,Number,عدد,2025,127,Mortgages,الرهون,2,مبنى,60
Second Quarter,Land,Second Quarter,Value,قيمة,2025,16937115373,Mortgages,الرهون,2,أرض,61
Second Quarter,Land,Second Quarter,Number,عدد,2025,1830,Mortgages,الرهون,2,أرض,62
Second Quarter,Villa,Second Quarter,Value,قيمة,2025,8879655981,Mortgages,الرهون,2,فيلا,63
Second Quarter,Villa,Second Quarter,Number,عدد,2025,2433,Mortgages,الرهون,2,فيلا,64
Second Quarter,Units,Second Quarter,Value,قيمة,2025,4296338346,Other,أخرى,2,وحده,65
Second Quarter,Units,Second Quarter,Number,عدد,2025,2013,Other,أخرى,2,وحده,66
Second Quarter,Building,Second Quarter,Value,قيمة,2025,1164579151,Other,أخرى,2,مبنى,67
Second Quarter,Building,Second Quarter,Number,عدد,2025,41,Other,أخرى,2,مبنى,68
Second Quarter,Land,Second Quarter,Value,قيمة,2025,3708107625,Other,أخرى,2,أرض,69
Second Quarter,Land,Second Quarter,Number,عدد,2025,182,Other,أخرى,2,أرض,70
Second Quarter,Villa,Second Quarter,Value,قيمة,2025,2587701482,Other,أخرى,2,فيلا,71
Second Quarter,Villa,Second Quarter,Number,عدد,2025,347,Other,أخرى,2,فيلا,72
Fourth Quarter,Units,Fourth Quarter,Value,قيمة,2025,97438968845,Sales,المبايعات,4,وحده,73
Fourth Quarter,Units,Fourth Quarter,Number,عدد,2025,49233,Sales,المبايعات,4,وحده,74
Fourth Quarter,Building,Fourth Quarter,Value,قيمة,2025,6196636634,Sales,المبايعات,4,مبنى,75
Fourth Quarter,Building,Fourth Quarter,Number,عدد,2025,157,Sales,المبايعات,4,مبنى,76
Fourth Quarter,Land,Fourth Quarter,Value,قيمة,2025,57276332177,Sales,المبايعات,4,أرض,77
Fourth Quarter,Land,Fourth Quarter,Number,عدد,2025,3155,Sales,المبايعات,4,أرض,78
Fourth Quarter,Villa,Fourth Quarter,Value,قيمة,2025,24425760006,Sales,المبايعات,4,فيلا,79
Fourth Quarter,Villa,Fourth Quarter,Number,عدد,2025,4855,Sales,المبايعات,4,فيلا,80
Fourth Quarter,Units,Fourth Quarter,Value,قيمة,2025,9064808498,Mortgages,الرهون,4,وحده,81
Fourth Quarter,Units,Fourth Quarter,Number,عدد,2025,6612,Mortgages,الرهون,4,وحده,82
Fourth Quarter,Building,Fourth Quarter,Value,قيمة,2025,10793185283,Mortgages,الرهون,4,مبنى,83
Fourth Quarter,Building,Fourth Quarter,Number,عدد,2025,153,Mortgages,الرهون,4,مبنى,84
Fourth Quarter,Land,Fourth Quarter,Value,قيمة,2025,17668061064,Mortgages,الرهون,4,أرض,85
Fourth Quarter,Land,Fourth Quarter,Number,عدد,2025,1847,Mortgages,الرهون,4,أرض,86
Fourth Quarter,Villa,Fourth Quarter,Value,قيمة,2025,10130256871,Mortgages,الرهون,4,فيلا,87
Fourth Quarter,Villa,Fourth Quarter,Number,عدد,2025,2688,Mortgages,الرهون,4,فيلا,88
Fourth Quarter,Units,Fourth Quarter,Value,قيمة,2025,4052893526,Other,أخرى,4,وحده,89
Fourth Quarter,Units,Fourth Quarter,Number,عدد,2025,1800,Other,أخرى,4,وحده,90
Fourth Quarter,Building,Fourth Quarter,Value,قيمة,2025,4548206729,Other,أخرى,4,مبنى,91
Fourth Quarter,Building,Fourth Quarter,Number,عدد,2025,107,Other,أخرى,4,مبنى,92
Fourth Quarter,Land,Fourth Quarter,Value,قيمة,2025,5691759766,Other,أخرى,4,أرض,93
Fourth Quarter,Land,Fourth Quarter,Number,عدد,2025,271,Other,أخرى,4,أرض,94
Fourth Quarter,Villa,Fourth Quarter,Value,قيمة,2025,2491501683,Other,أخرى,4,فيلا,95
Fourth Quarter,Villa,Fourth Quarter,Number,عدد,2025,317,Other,أخرى,4,فيلا,96
First Quarter,Units,First Quarter,Value,قيمة,2023,46800636671,Sales,المبايعات,1,وحده,97
First Quarter,Units,First Quarter,Number,عدد,2023,23852,Sales,المبايعات,1,وحده,98
First Quarter,Building,First Quarter,Value,قيمة,2023,3000746443,Sales,المبايعات,1,مبنى,99
First Quarter,Building,First Quarter,Number,عدد,2023,132,Sales,المبايعات,1,مبنى,100
First Quarter,Land,First Quarter,Value,قيمة,2023,23973819456,Sales,المبايعات,1,أرض,101
First Quarter,Land,First Quarter,Number,عدد,2023,2978,Sales,المبايعات,1,أرض,102
First Quarter,Villa,First Quarter,Value,قيمة,2023,15281416266,Sales,المبايعات,1,فيلا,103
First Quarter,Villa,First Quarter,Number,عدد,2023,3990,Sales,المبايعات,1,فيلا,104
First Quarter,Units,First Quarter,Value,قيمة,2023,4922538900,Mortgages,الرهون,1,وحده,105
First Quarter,Units,First Quarter,Number,عدد,2023,2619,Mortgages,الرهون,1,وحده,106
First Quarter,Building,First Quarter,Value,قيمة,2023,8181660556,Mortgages,الرهون,1,مبنى,107
First Quarter,Building,First Quarter,Number,عدد,2023,135,Mortgages,الرهون,1,مبنى,108
First Quarter,Land,First Quarter,Value,قيمة,2023,41710409193,Mortgages,الرهون,1,أرض,109
First Quarter,Land,First Quarter,Number,عدد,2023,1021,Mortgages,الرهون,1,أرض,110
First Quarter,Villa,First Quarter,Value,قيمة,2023,4337326244,Mortgages,الرهون,1,فيلا,111
First Quarter,Villa,First Quarter,Number,عدد,2023,1485,Mortgages,الرهون,1,فيلا,112
First Quarter,Units,First Quarter,Value,قيمة,2023,2336779434,Other,أخرى,1,وحده,113
First Quarter,Units,First Quarter,Number,عدد,2023,2090,Other,أخرى,1,وحده,114
First Quarter,Building,First Quarter,Value,قيمة,2023,2752446118,Other,أخرى,1,مبنى,115
First Quarter,Building,First Quarter,Number,عدد,2023,66,Other,أخرى,1,مبنى,116
First Quarter,Land,First Quarter,Value,قيمة,2023,1884351993,Other,أخرى,1,أرض,117
First Quarter,Land,First Quarter,Number,عدد,2023,150,Other,أخرى,1,أرض,118
First Quarter,Villa,First Quarter,Value,قيمة,2023,1797242285,Other,أخرى,1,فيلا,119
First Quarter,Villa,First Quarter,Number,عدد,2023,203,Other,أخرى,1,فيلا,120
Second Quarter,Units,Second Quarter,Value,قيمة,2023,49012972300,Sales,المبايعات,2,وحده,121
Second Quarter,Units,Second Quarter,Number,عدد,2023,24055,Sales,المبايعات,2,وحده,122
Second Quarter,Building,Second Quarter,Value,قيمة,2023,1973644340,Sales,المبايعات,2,مبنى,123
Second Quarter,Building,Second Quarter,Number,عدد,2023,96,Sales,المبايعات,2,مبنى,124
Second Quarter,Land,Second Quarter,Value,قيمة,2023,24981788449,Sales,المبايعات,2,أرض,125
Second Quarter,Land,Second Quarter,Number,عدد,2023,2409,Sales,المبايعات,2,أرض,126
Second Quarter,Villa,Second Quarter,Value,قيمة,2023,14781450434,Sales,المبايعات,2,فيلا,127
Second Quarter,Villa,Second Quarter,Number,عدد,2023,3532,Sales,المبايعات,2,فيلا,128
Second Quarter,Units,Second Quarter,Value,قيمة,2023,4226210505,Mortgages,الرهون,2,وحده,129
Second Quarter,Units,Second Quarter,Number,عدد,2023,3152,Mortgages,الرهون,2,وحده,130
Second Quarter,Building,Second Quarter,Value,قيمة,2023,9646917184,Mortgages,الرهون,2,مبنى,131
Second Quarter,Building,Second Quarter,Number,عدد,2023,102,Mortgages,الرهون,2,مبنى,132
Second Quarter,Land,Second Quarter,Value,قيمة,2023,10893702052,Mortgages,الرهون,2,أرض,133
Second Quarter,Land,Second Quarter,Number,عدد,2023,1014,Mortgages,الرهون,2,أرض,134
Second Quarter,Villa,Second Quarter,Value,قيمة,2023,5634936334,Mortgages,الرهون,2,فيلا,135
Second Quarter,Villa,Second Quarter,Number,عدد,2023,1799,Mortgages,الرهون,2,فيلا,136
Second Quarter,Units,Second Quarter,Value,قيمة,2023,1523185976,Other,أخرى,2,وحده,137
Second Quarter,Units,Second Quarter,Number,عدد,2023,963,Other,أخرى,2,وحده,138
Second Quarter,Building,Second Quarter,Value,قيمة,2023,1218244750,Other,أخرى,2,مبنى,139
Second Quarter,Building,Second Quarter,Number,عدد,2023,29,Other,أخرى,2,مبنى,140
Second Quarter,Land,Second Quarter,Value,قيمة,2023,1292863621,Other,أخرى,2,أرض,141
Second Quarter,Land,Second Quarter,Number,عدد,2023,79,Other,أخرى,2,أرض,142
Second Quarter,Villa,Second Quarter,Value,قيمة,2023,898294861,Other,أخرى,2,فيلا,143
Second Quarter,Villa,Second Quarter,Number,عدد,2023,175,Other,أخرى,2,فيلا,144
Third Quarter,Units,Third Quarter,Value,قيمة,2023,44912600916,Sales,المبايعات,3,وحده,145
Third Quarter,Units,Third Quarter,Number,عدد,2023,23022,Sales,المبايعات,3,وحده,146
Third Quarter,Building,Third Quarter,Value,قيمة,2023,2537913398,Sales,المبايعات,3,مبنى,147
Third Quarter,Building,Third Quarter,Number,عدد,2023,108,Sales,المبايعات,3,مبنى,148
Third Quarter,Land,Third Quarter,Value,قيمة,2023,32378193573,Sales,المبايعات,3,أرض,149
Third Quarter,Land,Third Quarter,Number,عدد,2023,3896,Sales,المبايعات,3,أرض,150
Third Quarter,Villa,Third Quarter,Value,قيمة,2023,17694698544,Sales,المبايعات,3,فيلا,151
Third Quarter,Villa,Third Quarter,Number,عدد,2023,4159,Sales,المبايعات,3,فيلا,152
Third Quarter,Units,Third Quarter,Value,قيمة,2023,4840708946,Mortgages,الرهون,3,وحده,153
Third Quarter,Units,Third Quarter,Number,عدد,2023,3667,Mortgages,الرهون,3,وحده,154
Third Quarter,Building,Third Quarter,Value,قيمة,2023,7162955977,Mortgages,الرهون,3,مبنى,155
Third Quarter,Building,Third Quarter,Number,عدد,2023,111,Mortgages,الرهون,3,مبنى,156
Third Quarter,Land,Third Quarter,Value,قيمة,2023,23681579048,Mortgages,الرهون,3,أرض,157
