Transaction_ID,Transaction_Date,Area,Property_Type,Property_Sub_Type,Property_Size_SqM,Transaction_Amount_AED,Rooms,Parking_Spaces,Transaction_Type,Source_Channel
dxb-101018,2025-09-21,jumeirah village circle,apartment,2 br,407.9,4480815.0,2.0,3,sale,developer
dxb-100222,2023-06-23,jumeirah,villa,6 br,71.7,2034323.0,6.0,3,sale,broker
dxb-100310,2026-07-08,al barsha,apartment,studio,126.7,2012324.0,0.0,0,sale,developer
dxb-101268,2023-07-24,dubai marina,apartment,1 br,36.8,1064931.0,1.0,2,mortgage,dld
dxb-101361,2025-12-05,jumeirah,apartment,2 br,114.6,2170758.0,2.0,3,sale,developer
dxb-100307,2024-08-03,jumeirah village circle,villa,6 br,202.9,3054340.0,6.0,2,sale,developer
dxb-100292,2024-01-05,business bay,hotel apartment,2 br,79.4,2276293.0,2.0,2,sale,broker
dxb-101103,2025-02-19,dubai marina,townhouse,3 br,368.5,6759447.0,3.0,3,sale,broker
dxb-100491,2024-05-21,international city,villa,5 br,516.9,3802875.0,5.0,0,sale,broker
dxb-100509,2024-08-07,dubai hills estate,apartment,1 br,113.9,2584807.0,1.0,3,mortgage,developer
dxb-101463,2026-06-26,international city,apartment,1 br,114.0,1291138.0,1.0,1,sale,developer
dxb-100684,2023-06-10,mirdif,villa,6 br,74.8,1059119.0,6.0,1,sale,developer
dxb-101248,2026-05-09,bur dubai,penthouse,4 br,114.8,2795820.0,4.0,2,mortgage,dld
dxb-100485,2024-10-16,dubai marina,apartment,studio,107.35,85000000.0,0.0,1,sale,dld
dxb-101315,2025-12-01,jumeirah lake towers,villa,3 br,77.9,1381612.0,3.0,3,sale,developer
dxb-100042,2023-03-15,jlt,villa,6 br,131.0,3212161.0,6.0,0,mortgage,dld
dxb-100818,2025-09-11,international city,villa,6 br,77.7,1200052.0,6.0,2,sale,dld
dxb-100781,2023-12-01,business bay,hotel apartment,2 br,71.5,1813218.0,2.0,2,sale,dld
dxb-101293,2024-07-14,downtown dubai,apartment,3 br,136.8,2184626.0,3.0,1,sale,developer
dxb-100618,2023-09-09,palm jumeirah,apartment,3 br,57.3,1925315.0,3.0,1,mortgage,dld
dxb-100662,2023-05-30,mirdif,apartment,1 br,433.1,5258295.0,1.0,3,sale,dld
