Transaction_ID,Transaction_Date,Area,Property_Type,Property_Sub_Type,Property_Size_SqM,Transaction_Amount_AED,Rooms,Parking_Spaces,Transaction_Type,Source_Channel
DXB-101018,2025-09-21,Jumeirah Village Circle,Apartment,2 BR,407.9,4480815.0,2.0,3,Sale,Developer
DXB-100222,2023-06-23,Jumeirah,Villa,6 BR,71.7,2034323.0,6.0,3,Sale,Broker
DXB-100310,2026-07-08,Al Barsha,Apartment,Studio,126.7,2012324.0,0.0,0,Sale,Developer
DXB-101268,2023-07-24,Dubai Marina,Apartment,1 BR,36.8,1064931.0,1.0,2,Mortgage,DLD
DXB-101361,2025-12-05,Jumeirah,APARTMENT,2 BR,114.6,"AED 2,170,758",2.0,3,Sale,Developer
DXB-100307,2024-08-03,Jumeirah Village Circle,Villa,6 BR,202.9,3054340.0,6.0,2,Sale,Developer
DXB-100292,2024-01-05,Business Bay,Hotel Apartment,2 BR,79.4,"AED 2,276,293",2.0,2,Sale,Broker
DXB-101103,2025-02-19,Dubai Marina,Townhouse,3 BR,368.5,6759447.0,3.0,3,Sale,Broker
DXB-100491,2024-05-21,International City,Villa,5 BR,516.9,3802875.0,5.0,0,Sale,Broker
DXB-100509,2024-08-07,Dubai Hills Estate,Apartment,1 BR,113.9,2584807.0,1.0,3,Mortgage,Developer
DXB-101463,26-Jun-2026,International City,Apartment,1 BR,114.0,1291138.0,1.0,1,Sale,Developer
DXB-100684,2023-06-10,Mirdif,Villa,6 BR,74.8,1059119.0,6.0,1,Sale,Developer
DXB-101248,2026-05-09,Bur Dubai,Penthouse,4 BR,114.8,2795820.0,4.0,2, Mortgage ,DLD
DXB-100485,2024-10-16,Dubai Marina,Apartment,Studio,8000.0,85000000,0.0,1,Sale,DLD
DXB-101315,2025-12-01,Jumeirah Lake Towers,villa,3 BR,77.9,1381612.0,3.0,3,Sale,Developer
DXB-100042,2023-03-15,JLT,Villa,6 BR,131.0,3212161.0,6.0,0,Mortgage,DLD
DXB-100818,2025-09-11,International City,Villa,6 BR,77.7,1200052.0,6.0,2,Sale,DLD
DXB-100781,2023-12-01,Business Bay,Hotel Apartment,2 BR,71.5,1813218.0,2.0,2,Sale,DLD
DXB-101293,14/07/2024,Downtown Dubai,Apartment,3 BR,136.8,2184626.0,3.0,1,Sale,Developer
